country_abbr,sector_abbr,control_reg_id,nem_system_size_limit_kw,year_end_excess_sell_rate_usd_per_kwh,year
,ind,4,10000000000,0,
,ind,5,10000000000,0,
,ind,6,10000000000,0,
,ind,7,10000000000,0,
,ind,8,10000000000,0,
,ind,9,10000000000,0,
,res,1,10000000000,0,
,res,2,10000000000,0,
,res,3,10000000000,0,
,res,4,10000000000,0,
,res,5,10000000000,0,
,res,6,10000000000,0,
,res,7,10000000000,0,
,res,8,10000000000,0,
,res,9,10000000000,0,
,com,1,10000000000,0,
,com,2,10000000000,0,
,com,3,10000000000,0,
,com,4,10000000000,0,
,com,5,10000000000,0,
,com,6,10000000000,0,
,com,7,10000000000,0,
,com,8,10000000000,0,
,com,9,10000000000,0,
,ind,1,10000000000,0,
,ind,2,10000000000,0,
,ind,3,10000000000,0,
,ind,4,10000000000,0,
,ind,5,10000000000,0,
,ind,6,10000000000,0,
,ind,7,10000000000,0,
,ind,8,10000000000,0,
,ind,9,10000000000,0,
,res,1,10000000000,0,
,res,2,10000000000,0,
,res,3,10000000000,0,
,res,4,10000000000,0,
,res,5,10000000000,0,
,res,6,10000000000,0,
,res,7,10000000000,0,
,res,8,10000000000,0,
,res,9,10000000000,0,
,com,1,10000000000,0,
,com,2,10000000000,0,
,com,3,10000000000,0,
,com,4,10000000000,0,
,com,5,10000000000,0,
,com,6,10000000000,0,
,com,7,10000000000,0,
,com,8,10000000000,0,
,com,9,10000000000,0,
,ind,1,10000000000,0,
,ind,2,10000000000,0,
,ind,3,10000000000,0,
,ind,4,10000000000,0,
,ind,5,10000000000,0,
,ind,6,10000000000,0,
,ind,7,10000000000,0,
,ind,8,10000000000,0,
,ind,9,10000000000,0,
,res,1,10000000000,0,
,res,2,10000000000,0,
,res,3,10000000000,0,
,res,4,10000000000,0,
,res,5,10000000000,0,
,res,6,10000000000,0,
,res,7,10000000000,0,
,res,8,10000000000,0,
,res,9,10000000000,0,
,com,1,10000000000,0,
,com,2,10000000000,0,
,com,3,10000000000,0,
,com,4,10000000000,0,
,com,5,10000000000,0,
,com,6,10000000000,0,
,com,7,10000000000,0,
,com,8,10000000000,0,
,com,9,10000000000,0,
,ind,1,10000000000,0,
,ind,2,10000000000,0,
,ind,3,10000000000,0,
,ind,4,10000000000,0,
,ind,5,10000000000,0,
,ind,6,10000000000,0,
,ind,7,10000000000,0,
,ind,8,10000000000,0,
,ind,9,10000000000,0,
,res,1,10000000000,0,
,res,2,10000000000,0,
,res,3,10000000000,0,
,res,4,10000000000,0,
,res,5,10000000000,0,
,res,6,10000000000,0,
,res,7,10000000000,0,
,res,8,10000000000,0,
,res,9,10000000000,0,
,com,1,10000000000,0,
,com,2,10000000000,0,
,com,3,10000000000,0,
,com,4,10000000000,0,
,com,5,10000000000,0,
,com,6,10000000000,0,
,com,7,10000000000,0,
,com,8,10000000000,0,
,com,9,10000000000,0,
,ind,1,10000000000,0,
,ind,2,10000000000,0,
,ind,3,10000000000,0,
,ind,4,10000000000,0,
,ind,5,10000000000,0,
,ind,6,10000000000,0,
,ind,7,10000000000,0,
,ind,8,10000000000,0,
,ind,9,10000000000,0,
,res,1,10000000000,0,
,res,2,10000000000,0,
,res,3,10000000000,0,
,res,4,10000000000,0,
,res,5,10000000000,0,
,res,6,10000000000,0,
,res,7,10000000000,0,
,res,8,10000000000,0,
,res,9,10000000000,0,
,com,1,10000000000,0,
,com,2,10000000000,0,
,com,3,10000000000,0,
,com,4,10000000000,0,
,com,5,10000000000,0,
,com,6,10000000000,0,
,com,7,10000000000,0,
,com,8,10000000000,0,
,com,9,10000000000,0,
,ind,1,10000000000,0,
,ind,2,10000000000,0,
,ind,3,10000000000,0,
,ind,4,10000000000,0,
,ind,5,10000000000,0,
,ind,6,10000000000,0,
,ind,7,10000000000,0,
,ind,8,10000000000,0,
,ind,9,10000000000,0,
,res,1,10000000000,0,
,res,2,10000000000,0,
,res,3,10000000000,0,
,res,4,10000000000,0,
,res,5,10000000000,0,
,res,6,10000000000,0,
,res,7,10000000000,0,
,res,8,10000000000,0,
,res,9,10000000000,0,
,com,1,10000000000,0,
,com,2,10000000000,0,
,com,3,10000000000,0,
,com,4,10000000000,0,
,com,5,10000000000,0,
,com,6,10000000000,0,
,com,7,10000000000,0,
,com,8,10000000000,0,
,com,9,10000000000,0,
,ind,1,10000000000,0,
,ind,2,10000000000,0,
,ind,3,10000000000,0,
,ind,4,10000000000,0,
,ind,5,10000000000,0,
,ind,6,10000000000,0,
,ind,7,10000000000,0,
,ind,8,10000000000,0,
,ind,9,10000000000,0,
