state_abbr,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
SD,0.0411241115704,0.0347164380429,0.0283087645154,0.0336694314444,0.0390300983734,0.0326441544127,0.026258210452,0.0299973378164,0.0337364651808,0.0341034584227,0.0344704516646,0.0357126067147,0.0369547617648,0.0373901736253,0.0378255854859,0.0372606942885,0.0366958030911,0.0364320921795,0.0361683812679,0.0365982614493,0.0370281416307,0.037664719651,0.0383012976713,0.0386627816699,0.0390242656685,0.0393524076912,0.039680549714,0.0398714059978,0.0400622622817,0.0399721527452,0.0398820432086,0.0401328335446,0.0403836238805,0.0408483945995,0.0413131653185,0.0422569326189,0.0432006999194,0.0440368836254,0.0448730673315,0.0452555302011,0.0456379930706
TN,0.0498296269369,0.0433098209361,0.0367900149354,0.0397762184961,0.0427624220568,0.0367608393859,0.0307592567149,0.0339224623865,0.037085668058,0.0387037841115,0.040321900165,0.0405943124098,0.0408667246545,0.0406246943882,0.0403826641219,0.0394369100557,0.0384911559894,0.0381164406199,0.0377417252504,0.0378286159347,0.0379155066189,0.0383353529917,0.0387551993644,0.0389953264566,0.0392354535487,0.0398844499287,0.0405334463086,0.0409051758749,0.0412769054411,0.0415246557731,0.0417724061052,0.0422493357435,0.0427262653817,0.0435734254754,0.0444205855691,0.0456622538182,0.0469039220673,0.0481217537888,0.0493395855103,0.049865379905,0.0503911742997
TX,0.0469806532685,0.0392506284231,0.0315206035777,0.0370782980964,0.0426359926151,0.034671305044,0.0267066174729,0.0302859894778,0.0338653614827,0.0360732409398,0.038281120397,0.038411398522,0.038541676647,0.0375197115897,0.0364977465324,0.0360789411115,0.0356601356907,0.0354522582844,0.0352443808781,0.0353339023853,0.0354234238926,0.0356043342965,0.0357852447004,0.0357630610252,0.0357408773501,0.0360295307279,0.0363181841056,0.0365366704246,0.0367551567436,0.0371038077243,0.0374524587049,0.0378860355292,0.0383196123535,0.0388798526245,0.0394400928956,0.0401161005261,0.0407921081567,0.0416567723603,0.0425214365639,0.0427602157186,0.0429989948734
UT,0.0413587324208,0.0347131295222,0.0280675266236,0.0328951831736,0.0377228397236,0.0305920772165,0.0234613147094,0.0272466392806,0.0310319638518,0.0313623012623,0.0316926386728,0.031944604459,0.0321965702452,0.0320627571519,0.0319289440587,0.0334680188586,0.0350070936586,0.0350036505288,0.035000207399,0.0348723306692,0.0347444539394,0.0349949338406,0.0352454137419,0.0355708375542,0.0358962613665,0.0362195417662,0.0365428221659,0.0370766590273,0.0376104958887,0.0379305264867,0.0382505570846,0.0385395441515,0.0388285312183,0.0393486939346,0.039868856651,0.0404420371271,0.0410152176033,0.041866447463,0.0427176773226,0.0430539046196,0.0433901319166
VA,0.0536520853889,0.0456277211982,0.0376033570074,0.0409703310589,0.0443373051103,0.0380782514481,0.0318191977859,0.0344777657462,0.0371363337065,0.0382415580261,0.0393467823457,0.0404497989356,0.0415528155256,0.0415850445499,0.0416172735742,0.0410255887643,0.0404339039543,0.0401407668239,0.0398476296936,0.0398960697403,0.039944509787,0.0402595332294,0.0405745566719,0.0408226788613,0.0410708010507,0.0418075857279,0.0425443704051,0.0430016153731,0.0434588603412,0.0437245859467,0.0439903115522,0.044566321023,0.0451423304938,0.0461111884368,0.0470800463797,0.0482048369233,0.0493296274669,0.0506517814251,0.0519739353833,0.0530847321825,0.0541955289816
VT,0.0552588399557,0.0451090564333,0.0349592729109,0.0487862577034,0.0626132424958,0.0500563887829,0.03749953507,0.0382273865998,0.0389552381295,0.0403495163076,0.0417437944857,0.0433429197889,0.0449420450921,0.045636348357,0.046330651622,0.045492906554,0.0446551614861,0.044172224112,0.0436892867379,0.0434527332232,0.0432161797085,0.0434047980322,0.0435934163558,0.0438616062861,0.0441297962164,0.0451241810419,0.0461185658675,0.0460663985674,0.0460142312674,0.0466116844686,0.0472091376698,0.04758643769,0.0479637377101,0.0490651506324,0.0501665635548,0.0521454537375,0.0541243439203,0.0559063848726,0.057688425825,0.0592107242568,0.0607330226886
WA,0.0473870001328,0.0384304096142,0.0294738190957,0.0350476066925,0.0406213942892,0.0322392899328,0.0238571855763,0.0287669606829,0.0336767357896,0.0339281085233,0.0341794812571,0.0346566752171,0.035133869177,0.0367272594436,0.0383206497103,0.0398284523624,0.0413362550146,0.0451245792862,0.0489129035577,0.0527945818091,0.0566762600605,0.0566429292502,0.0566095984398,0.0570028685446,0.0573961386493,0.0574358243931,0.0574755101369,0.0580700278133,0.0586645454898,0.0588934051252,0.0591222647606,0.0587008218603,0.05827937896,0.057749944836,0.057220510712,0.0566301537071,0.0560397967023,0.0569875880353,0.0579353793682,0.057984680203,0.0580339810378
WI,0.0405669423188,0.0353315631348,0.0300961839508,0.034978137286,0.0398600906211,0.0348318234586,0.0298035562961,0.0326907558784,0.0355779554606,0.0362188565639,0.0368597576672,0.0389161020642,0.0409724464613,0.0409691644852,0.0409658825092,0.0398655475215,0.0387652125338,0.0383507263642,0.0379362401945,0.0381952412047,0.0384542422148,0.0390818949863,0.0397095477578,0.0401071225567,0.0405046973556,0.0412110107145,0.0419173240733,0.0423196173301,0.0427219105869,0.0428118572443,0.0429018039018,0.04340701498,0.0439122260583,0.0445285351778,0.0451448442974,0.0461004757555,0.0470561072136,0.0482358845062,0.0494156617988,0.050108429706,0.0508011976133
WV,0.0536520853889,0.0456277211982,0.0376033570074,0.0409703310589,0.0443373051103,0.0380782514481,0.0318191977859,0.0344777657462,0.0371363337065,0.0382415580261,0.0393467823457,0.0404497989356,0.0415528155256,0.0415850445499,0.0416172735742,0.0410255887643,0.0404339039543,0.0401407668239,0.0398476296936,0.0398960697403,0.039944509787,0.0402595332294,0.0405745566719,0.0408226788613,0.0410708010507,0.0418075857279,0.0425443704051,0.0430016153731,0.0434588603412,0.0437245859467,0.0439903115522,0.044566321023,0.0451423304938,0.0461111884368,0.0470800463797,0.0482048369233,0.0493296274669,0.0506517814251,0.0519739353833,0.0530847321825,0.0541955289816
WY,0.0413587324208,0.0347131295222,0.0280675266236,0.0328951831736,0.0377228397236,0.0305920772165,0.0234613147094,0.0272466392806,0.0310319638518,0.0313623012623,0.0316926386728,0.031944604459,0.0321965702452,0.0320627571519,0.0319289440587,0.0334680188586,0.0350070936586,0.0350036505288,0.035000207399,0.0348723306692,0.0347444539394,0.0349949338406,0.0352454137419,0.0355708375542,0.0358962613665,0.0362195417662,0.0365428221659,0.0370766590273,0.0376104958887,0.0379305264867,0.0382505570846,0.0385395441515,0.0388285312183,0.0393486939346,0.039868856651,0.0404420371271,0.0410152176033,0.041866447463,0.0427176773226,0.0430539046196,0.0433901319166
